week,adoption_mean,adoption_p05,adoption_p95,productivity_mean,frustration_mean,tickets_mean,tickets_p95,exs_mean,resistance_mean,network_density_mean,productivity_delta_true
0,0.382,0.382,0.382,0.641719,0.151786,0.0,0.0,68.24155999999999,0.0,0.009836436436436438,0.0
1,0.5461333333333334,0.538,0.5562,0.6516362666666667,0.1427454,485.5,527.3,72.39662399999999,0.0,0.01128682015348682,0.009917266666666702
2,0.6914333333333332,0.6884499999999999,0.69455,0.6782028328,0.13356036000000002,394.4,429.59999999999997,76.34805571733334,0.0,0.0134320987654321,0.036483832800000005
3,0.7,0.7,0.7,0.70743339512,0.125410824,371.1333333333333,396.55,78.85741468026666,0.0,0.015885952619285954,0.06571439511999999
4,0.7,0.7,0.7,0.7325361746013334,0.11799974160000001,372.6333333333333,400.0,79.94484428204,0.0,0.017673807140473806,0.09081717460133332
5,0.7,0.7,0.7,0.7536056547182667,0.11156376744000002,372.6333333333333,398.2,80.80218778114799,0.0,0.01894527861194528,0.11188665471826664
6,0.7,0.7,0.7,0.7692778923649867,0.10547439069600001,375.03333333333336,398.75,81.4854830965896,0.0,0.01985739072405739,0.12755889236498663
7,0.7,0.7,0.7,0.7786877840909506,0.09984545162640002,375.1333333333333,402.55,81.96479271580452,0.293,0.020498898898898898,0.1369687840909506
8,0.7,0.7,0.7,0.7834804898604254,0.09501790646376002,372.96666666666664,396.75,82.27753796958116,0.293,0.020958958958958957,0.14176148986042536
9,0.7,0.7,0.7,0.7849487665568973,0.09055576983379801,371.73333333333335,404.2,82.47776105252397,0.293,0.021291358024691356,0.14322976655689723
10,0.7,0.7,0.7,0.7834548105475736,0.08688219285041822,373.26666666666665,398.95,82.56151756666257,0.293,0.021524457791124458,0.14173581054757356
11,0.7,0.7,0.7,0.7798398813781049,0.0832879735653764,377.8666666666667,408.55,82.57886736655497,0.293,0.02168428428428428,0.13812088137810485
12,0.7,0.7,0.7,0.7753559360845532,0.07991817620883876,377.23333333333335,403.95,82.56229191522723,0.293,0.021798932265598932,0.13363693608455318
13,0.7,0.7,0.7,0.7706832392035655,0.07706985858795488,380.1333333333333,412.15,82.52180212552854,0.293,0.021877277277277278,0.12896423920356548
14,0.7,0.7,0.7,0.7659156714139111,0.07476306337504567,372.76666666666665,399.69999999999993,82.45951292429073,0.293,0.021930130130130128,0.12419667141391111
15,0.7,0.7,0.7,0.7612140889137495,0.0722412570375411,372.1,408.1,82.40672867109855,0.293,0.021969235902569235,0.11949508891374949
16,0.7,0.7,0.7,0.756592285378222,0.070228131333787,373.26666666666665,399.1,82.33853396466411,0.293,0.021993393393393394,0.11487328537822195
17,0.7,0.7,0.7,0.7520786877767398,0.0682813182004083,377.1,412.2,82.2712644962879,0.293,0.02200820820820821,0.11035968777673977
18,0.7,0.7,0.7,0.7477144315832219,0.06620068638036748,369.1,398.04999999999995,82.21315892418379,0.293,0.022017617617617617,0.10599543158322189
19,0.7,0.7,0.7,0.7435093682441792,0.06461161774233073,368.2,408.84999999999997,82.1426244263438,0.293,0.02202015348682015,0.1017903682441792
20,0.7,0.7,0.7,0.7394738530629321,0.06311845596809766,374.2,400.0,82.07381963300455,0.293,0.02202128795462129,0.09775485306293208
21,0.7,0.7,0.7,0.7356403976554292,0.0616981103712879,374.1,401.1,82.00852806666781,0.293,0.02201881881881882,0.09392139765542917
22,0.7,0.7,0.7,0.7320284223615224,0.06045579933415911,375.96666666666664,402.65,81.9436496941501,0.293,0.022016483149816482,0.0903094223615224
23,0.7,0.7,0.7,0.7286312551428072,0.0593451490317455,376.6333333333333,410.55,81.88060743817313,0.293,0.022012412412412412,0.0869122551428072
24,0.7,0.7,0.7,0.7254772200282089,0.05820313412857095,368.76666666666665,397.75,81.82595690634629,0.293,0.022006673340006673,0.08375822002820887
25,0.7,0.7,0.7,0.722581106923545,0.05765682071571386,378.96666666666664,402.55,81.75819448265636,0.293,0.022000867534200868,0.08086210692354501
26,0.7,0.7,0.7,0.7199239836341312,0.05693970419567925,367.06666666666666,398.15,81.70357986217515,0.293,0.021996396396396396,0.0782049836341312
27,0.7,0.7,0.7,0.7175052519728546,0.05624523377611133,377.8,409.29999999999995,81.65532437702174,0.293,0.021990457123790455,0.0757862519728546
28,0.7,0.7,0.7,0.7153240487920195,0.055404210398500194,367.46666666666664,389.55,81.61932409981308,0.293,0.021983116449783117,0.07360504879201946
29,0.7,0.7,0.7,0.7133635566363236,0.05496228935865018,371.96666666666664,404.29999999999995,81.57597657153696,0.293,0.021976176176176178,0.07164455663632352
30,0.7,0.7,0.7,0.7116054768956784,0.054452060422785165,369.6,398.0,81.54109219207287,0.293,0.02196956956956957,0.0698864768956784
31,0.7,0.7,0.7,0.7100523169227102,0.053785083864744246,375.46666666666664,405.29999999999995,81.51784157241526,0.293,0.02196343009676343,0.06833331692271016
32,0.7,0.7,0.7,0.7086507500947155,0.05348107547826983,375.26666666666665,398.84999999999997,81.48643486110201,0.293,0.02195769102435769,0.06693175009471541
33,0.7,0.7,0.7,0.7074020296353167,0.05301096793044284,370.26666666666665,398.55,81.465427011494,0.293,0.021950884217550884,0.06568302963531669
34,0.7,0.7,0.7,0.7063022415478062,0.05293708426790576,378.8666666666667,408.04999999999995,81.43501929705748,0.293,0.021945011678345012,0.06458324154780615
35,0.7,0.7,0.7,0.7053397054338231,0.05289787584111519,373.3666666666667,405.65,81.40751550857566,0.293,0.021939406072739406,0.06362070543382303
36,0.7,0.7,0.7,0.7044977304456793,0.052594088257003666,376.9,409.55,81.39288882437525,0.293,0.021931998665332,0.06277873044567928
37,0.7,0.7,0.7,0.7037527666534581,0.05244217943130331,374.43333333333334,403.2,81.37585671950812,0.293,0.021924791458124794,0.062033766653458056
38,0.7,0.7,0.7,0.7031020353924041,0.05216797303148643,377.3,406.1,81.3659320056701,0.293,0.02191705038371705,0.061383035392404084
39,0.7,0.7,0.7,0.7025526268543135,0.05216667572833779,372.6666666666667,396.75,81.34949515513759,0.293,0.021909976643309976,0.06083362685431348
40,0.7,0.7,0.7,0.7020690843532805,0.05190900815550401,373.76666666666665,399.75,81.34400724515577,0.293,0.021903303303303305,0.060350084353280486
41,0.7,0.7,0.7,0.7016409904763913,0.051886284455505347,373.5,390.75,81.33195975834904,0.293,0.021896629963296627,0.05992199047639124
42,0.7,0.7,0.7,0.701290150757879,0.05174136775133357,376.2,407.0,81.3265066514397,0.293,0.021889155822489157,0.059571150757879
43,0.7,0.7,0.7,0.700999417973619,0.051462419278329743,372.76666666666665,413.55,81.32754786446702,0.293,0.021882415749082413,0.05928041797361894
44,0.7,0.7,0.7,0.7007608928456698,0.051315677350496774,379.26666666666665,409.55,81.3255280781027,0.293,0.021875342008675344,0.05904189284566974
45,0.7,0.7,0.7,0.7005652190632784,0.0513103896154471,378.53333333333336,409.65,81.3198429353577,0.293,0.02186806806806807,0.05884621906327836
46,0.7,0.7,0.7,0.7004253570200129,0.051345184841367665,371.6333333333333,397.1,81.31442924115251,0.293,0.021861528194861528,0.05870635702001281
47,0.7,0.7,0.7,0.7003168144082098,0.05134438640199486,372.56666666666666,395.0,81.31120090817647,0.293,0.02185492158825492,0.05859781440820977
48,0.7,0.7,0.7,0.7002387518770303,0.05120044776179537,373.73333333333335,405.29999999999995,81.31389688464807,0.293,0.021847914581247914,0.05851975187703029
49,0.7,0.7,0.7,0.7001812731062478,0.05121040298561584,377.73333333333335,406.29999999999995,81.31182408869087,0.293,0.021840306973640308,0.05846227310624774
50,0.7,0.7,0.7,0.7001372215092962,0.051070862687054255,367.3,395.95,81.31538645123199,0.293,0.021833366700033368,0.05841822150929621
51,0.7,0.7,0.7,0.7001003900616914,0.050918276418348826,378.46666666666664,407.5,81.31962202720852,0.293,0.02182709376042709,0.05838139006169141
